eer,fpr,tpr,authorized,unauthorized
0.5,"[0.0, 0.0, 0.008, 0.008, 0.012, 0.012, 0.014, 0.014, 0.024, 0.025, 0.053, 0.053, 0.063, 0.063, 0.1, 0.102, 0.104, 0.104, 0.104, 0.104, 0.122, 0.122, 0.177, 0.177, 0.238, 0.238, 0.239, 0.239, 0.245, 0.245, 0.271, 0.271, 0.307, 0.307, 0.311, 0.311, 0.318, 0.318, 0.319, 0.319, 0.334, 0.334, 0.37, 0.37, 0.376, 0.376, 0.378, 0.378, 0.385, 0.385, 0.443, 0.443, 0.454, 0.454, 0.46, 0.461, 0.467, 0.467, 0.476, 0.476, 0.497, 0.497, 0.531, 0.531, 0.585, 0.585, 0.587, 0.587, 0.604, 0.604, 0.635, 0.635, 0.64, 0.64, 0.707, 0.707, 0.716, 0.716, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.213, -0.623]","[-0.273, -0.379]"
0.23333333333333325,"[0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.003, 0.003, 0.006, 0.006, 0.007, 0.007, 0.008, 0.008, 0.009, 0.009, 0.012, 0.012, 0.012, 0.012, 0.013, 0.013, 0.014, 0.014, 0.017, 0.017, 0.029, 0.029, 0.034, 0.034, 0.058, 0.058, 0.069, 0.069, 0.069, 0.069, 0.077, 0.077, 0.098, 0.098, 0.105, 0.105, 0.13, 0.13, 0.155, 0.155, 0.171, 0.171, 0.234, 0.234, 0.272, 0.272, 0.3, 0.3, 0.335, 0.335, 0.348, 0.348, 0.353, 0.353, 0.355, 0.355, 0.357, 0.357, 0.369, 0.371, 0.371, 0.371, 0.385, 0.385, 0.389, 0.389, 0.503, 0.503, 0.591, 0.591, 0.615, 0.615, 0.657, 0.657, 0.686, 0.686, 0.709, 0.709, 0.714, 0.714, 0.718, 0.719, 0.732, 0.732, 0.735, 0.735, 0.776, 0.776, 0.795, 0.795, 0.826, 0.826, 0.827, 0.827, 0.835, 0.836, 0.839, 0.839, 0.85, 0.851, 0.855, 0.855, 0.894, 0.894, 0.899, 0.899, 0.907, 0.907, 0.914, 0.914, 0.915, 0.915, 0.926, 0.926, 0.932, 0.932, 0.934, 0.935, 0.938, 0.938, 0.946, 0.946, 0.958, 0.958, 0.981, 0.981, 0.987, 0.987, 0.994, 0.994, 1.0]","[0.0, 0.0, 0.0, 0.033, 0.033, 0.067, 0.067, 0.1, 0.1, 0.133, 0.133, 0.167, 0.167, 0.2, 0.2, 0.233, 0.233, 0.267, 0.267, 0.3, 0.3, 0.333, 0.333, 0.367, 0.367, 0.4, 0.4, 0.433, 0.433, 0.467, 0.467, 0.5, 0.5, 0.533, 0.533, 0.567, 0.567, 0.6, 0.6, 0.633, 0.633, 0.667, 0.667, 0.7, 0.7, 0.733, 0.733, 0.767, 0.767, 0.8, 0.8, 0.833, 0.833, 0.833, 0.833, 0.867, 0.867, 0.867, 0.867, 0.867, 0.867, 0.9, 0.9, 0.933, 0.933, 0.933, 0.933, 0.933, 0.933, 0.967, 0.967, 0.967, 0.967, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.085, 1.286, -0.101, 0.784, 1.264, 0.333, -0.318, 1.1, -0.155, -0.01, 0.694, -0.569, 0.269, 0.139, -0.55, 1.126, 0.337, 0.997, 1.218, -0.742, 1.579, -0.521, -0.407, 0.425, 1.126, -0.548, 1.437, 1.31, 0.106, 1.522]","[-1.227, -0.502, -0.299, -0.619, -0.134, -1.358, -1.7, -1.27, -0.991, -0.921, -1.512, -1.262, -1.057, 0.097, -0.798, -1.826, -0.767, -1.947, -0.282, -1.651, -1.338, -1.276, -0.66, -1.11, -1.367, -1.014, -1.144, -1.669, -0.161, -1.202]"
0.33333333333333376,"[0.0, 0.0, 0.05, 0.05, 0.175, 0.175, 0.177, 0.177, 0.224, 0.224, 0.31, 0.31, 0.357, 0.358, 0.362, 0.362, 0.368, 0.368, 0.4, 0.4, 0.408, 0.408, 0.42, 0.42, 0.426, 0.426, 0.43, 0.43, 0.438, 0.438, 0.452, 0.452, 0.493, 0.493, 0.501, 0.501, 0.504, 0.504, 0.506, 0.506, 0.534, 0.534, 0.546, 0.546, 0.556, 0.564, 0.565, 0.565, 0.565, 0.565, 0.565, 0.566, 0.566, 0.611, 0.611, 0.617, 0.617, 0.641, 0.641, 0.666, 0.666, 0.683, 0.683, 0.745, 0.745, 0.75, 0.75, 0.797, 0.797, 0.804, 0.804, 0.808, 0.808, 0.815, 0.815, 0.817, 0.817, 0.839, 0.839, 0.851, 0.851, 0.865, 0.865, 0.871, 0.871, 0.873, 0.873, 1.0]","[0.0, 0.0, 0.0, 0.333, 0.333, 0.333, 0.333, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.677, -0.115, 0.302]","[0.297, -0.729, -1.057]"
0.10971388511571314,"[0.0, 0.0, 0.011, 0.011, 0.012, 0.012, 0.022, 0.022, 0.031, 0.031, 0.055, 0.055, 0.081, 0.081, 0.11, 0.11, 0.377, 0.377, 0.44, 0.44, 0.455, 0.456, 0.459, 0.459, 0.485, 0.485, 0.574, 0.574, 0.621, 0.621, 0.623, 0.623, 0.641, 0.641, 0.739, 0.739, 0.772, 0.772, 0.84, 0.84, 0.841, 0.841, 0.848, 0.848, 0.88, 0.88, 0.884, 0.884, 0.925, 0.925, 0.93, 0.93, 0.932, 0.932, 0.936, 0.936, 0.939, 0.939, 0.949, 0.949, 0.968, 0.968, 0.971, 0.971, 0.971, 0.971, 0.98, 0.98, 0.981, 0.981, 0.984, 0.984, 0.984, 0.984, 0.987, 0.988, 0.989, 0.989, 0.99, 0.99, 0.99, 0.99, 0.991, 0.991, 0.995, 0.995, 0.995, 0.995, 1.0]","[0.0, 0.0, 0.0, 0.143, 0.143, 0.286, 0.286, 0.429, 0.429, 0.571, 0.571, 0.714, 0.714, 0.857, 0.857, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.18, 0.513, 0.983, 0.815, 1.16, 0.666, 1.066]","[-1.058, -0.423, 0.43, 0.33, -1.003, 0.268, 0.912]"
0.000176959830318101,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.359, 0.359, 0.359, 0.359, 0.359, 0.359, 0.359, 0.36, 0.48, 0.48, 0.481, 0.481, 1.0]","[0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.245, 1.082, 0.987, 1.089]","[-0.901, -0.299, -0.942, -0.995]"
0.09527326440266556,"[0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.005, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.007, 0.007, 0.008, 0.008, 0.008, 0.008, 0.012, 0.012, 0.012, 0.012, 0.013, 0.013, 0.013, 0.013, 0.016, 0.016, 0.017, 0.017, 0.021, 0.021, 0.028, 0.028, 0.088, 0.088, 0.095, 0.095, 0.111, 0.111, 0.147, 0.147, 0.213, 0.213, 0.245, 0.245, 0.247, 0.247, 0.281, 0.281, 0.297, 0.297, 0.327, 0.327, 0.366, 0.366, 0.384, 0.384, 0.395, 0.395, 0.398, 0.398, 0.413, 0.413, 0.481, 0.481, 0.483, 0.483, 0.489, 0.489, 0.491, 0.491, 0.51, 0.51, 0.517, 0.517, 0.624, 0.624, 0.646, 0.646, 0.672, 0.672, 0.675, 0.675, 0.681, 0.681, 0.71, 0.71, 0.725, 0.725, 0.738, 0.738, 0.742, 0.743, 0.771, 0.771, 0.773, 0.773, 0.781, 0.781, 0.783, 0.783, 0.789, 0.789, 0.804, 0.804, 0.845, 0.845, 0.854, 0.854, 0.855, 0.855, 0.877, 0.877, 0.888, 0.888, 1.0]","[0.0, 0.0, 0.0, 0.029, 0.029, 0.086, 0.086, 0.114, 0.114, 0.143, 0.143, 0.171, 0.171, 0.257, 0.257, 0.286, 0.286, 0.314, 0.314, 0.343, 0.343, 0.371, 0.371, 0.4, 0.4, 0.429, 0.429, 0.457, 0.457, 0.486, 0.486, 0.514, 0.514, 0.543, 0.543, 0.571, 0.571, 0.6, 0.6, 0.657, 0.657, 0.686, 0.686, 0.714, 0.714, 0.743, 0.743, 0.771, 0.771, 0.8, 0.8, 0.829, 0.829, 0.857, 0.857, 0.886, 0.886, 0.914, 0.914, 0.943, 0.943, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.504, 1.904, 1.16, 1.082, 1.219, 1.56, 1.813, 1.135, 1.53, 1.242, -1.113, 1.574, 0.991, -0.006, 1.646, 1.226, 0.25, 0.364, 1.768, 1.755, 1.873, 1.9, 1.829, 1.766, 0.424, 1.614, 1.246, 1.391, 1.489, 1.252, 1.374, 1.726, 1.929, 1.483, 1.737]","[-1.969, -2.074, -0.359, -1.469, -0.275, -0.957, -1.016, -0.453, -0.505, -0.245, -1.742, 0.214, 0.48, -1.24, -1.13, -0.143, -0.667, -0.244, 0.322, -0.662, -0.004, -1.267, -1.236, 0.955, -2.315, -1.476, -0.426, 0.613, -1.965, -0.943, -1.746, 0.167, -0.588, -2.561, -0.455]"
0.08333333333333115,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.008, 0.008, 0.009, 0.009, 0.012, 0.012, 0.015, 0.015, 0.015, 0.015, 0.018, 0.018, 0.018, 0.018, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.02, 0.02, 0.021, 0.021, 0.023, 0.023, 0.025, 0.025, 0.025, 0.025, 0.025, 0.026, 0.026, 0.027, 0.027, 0.028, 0.028, 0.03, 0.03, 0.033, 0.033, 0.033, 0.033, 0.033, 0.033, 0.033, 0.033, 0.033, 0.038, 0.039, 0.043, 0.043, 0.043, 0.043, 0.043, 0.046, 0.046, 0.046, 0.046, 0.046, 0.046, 0.047, 0.047, 0.051, 0.051, 0.053, 0.053, 0.057, 0.057, 0.058, 0.058, 0.059, 0.059, 0.06, 0.06, 0.064, 0.064, 0.069, 0.069, 0.073, 0.073, 0.073, 0.073, 0.077, 0.077, 0.084, 0.084, 0.099, 0.099, 0.112, 0.112, 0.119, 0.12, 0.125, 0.125, 0.165, 0.165, 0.188, 0.188, 0.192, 0.192, 0.229, 0.229, 0.23, 0.23, 0.23, 0.23, 0.282, 0.283, 0.286, 0.286, 0.321, 0.322, 0.348, 0.348, 0.417, 0.417, 0.483, 0.483, 1.0]","[0.0, 0.0, 0.028, 0.028, 0.028, 0.028, 0.056, 0.056, 0.083, 0.083, 0.111, 0.111, 0.139, 0.139, 0.167, 0.167, 0.194, 0.194, 0.222, 0.222, 0.25, 0.25, 0.25, 0.25, 0.278, 0.278, 0.306, 0.306, 0.306, 0.306, 0.333, 0.333, 0.361, 0.361, 0.361, 0.361, 0.389, 0.389, 0.389, 0.389, 0.389, 0.389, 0.389, 0.389, 0.417, 0.417, 0.417, 0.417, 0.417, 0.417, 0.444, 0.444, 0.472, 0.472, 0.472, 0.5, 0.5, 0.5, 0.5, 0.528, 0.528, 0.528, 0.528, 0.528, 0.556, 0.556, 0.583, 0.583, 0.611, 0.611, 0.639, 0.639, 0.639, 0.639, 0.639, 0.639, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.694, 0.694, 0.722, 0.722, 0.75, 0.75, 0.778, 0.778, 0.778, 0.778, 0.806, 0.806, 0.833, 0.833, 0.833, 0.833, 0.833, 0.833, 0.861, 0.861, 0.889, 0.889, 0.917, 0.917, 0.917, 0.917, 0.917, 0.917, 0.917, 0.917, 0.944, 0.944, 0.944, 0.944, 0.944, 0.944, 0.944, 0.944, 0.944, 0.944, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.356, 0.822, 0.618, 0.531, 1.113, 1.007, 1.465, 0.556, 0.734, 0.725, 0.398, -0.541, 0.834, 0.591, 0.935, 1.417, 1.376, 0.486, 0.582, 1.315, 0.727, 1.725, 0.475, 1.375, 1.319, 0.377, 0.953, 0.827, 1.313, 0.723, 0.79, 0.12, -0.216, 0.37, 0.909, 1.055]","[-0.537, -1.09, 0.6, -1.564, -0.481, -0.83, 0.098, -0.82, -1.013, 0.455, -0.964, -0.683, 0.006, -1.591, -0.051, -0.483, -1.149, -0.999, -0.667, -0.16, -0.014, -1.419, -0.98, -0.125, -0.452, -0.618, -1.098, -1.698, -0.451, -0.798, -0.984, 0.573, -0.956, -1.782, -0.377, -0.664]"
0.33333333333333376,"[0.0, 0.0, 0.004, 0.004, 0.112, 0.112, 0.181, 0.181, 0.218, 0.218, 0.236, 0.236, 0.246, 0.246, 0.311, 0.311, 0.342, 0.342, 0.386, 0.386, 0.448, 0.448, 0.454, 0.454, 0.466, 0.466, 0.471, 0.471, 0.494, 0.494, 0.514, 0.514, 0.543, 0.543, 0.563, 0.563, 0.565, 0.565, 0.567, 0.567, 0.582, 0.582, 0.593, 0.593, 0.602, 0.602, 0.606, 0.606, 0.622, 0.622, 0.672, 0.672, 0.706, 0.706, 0.719, 0.719, 0.734, 0.734, 0.751, 0.751, 0.811, 0.811, 0.84, 0.84, 0.841, 0.841, 0.847, 0.847, 0.849, 0.849, 0.85, 0.85, 0.855, 0.855, 0.86, 0.86, 0.879, 0.879, 0.879, 0.879, 1.0]","[0.0, 0.0, 0.0, 0.333, 0.333, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.363, 0.785, -0.454]","[-0.412, -0.557, -0.11]"
0.0373210633951202,"[0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.013, 0.013, 0.016, 0.016, 0.017, 0.017, 0.018, 0.018, 0.026, 0.026, 0.026, 0.027, 0.03, 0.03, 0.033, 0.033, 0.036, 0.036, 0.037, 0.037, 0.056, 0.056, 0.064, 0.064, 0.08, 0.08, 0.098, 0.098, 0.098, 0.099, 0.105, 0.105, 0.135, 0.136, 0.142, 0.142, 0.146, 0.146, 0.16, 0.161, 0.163, 0.163, 0.247, 0.247, 0.266, 0.266, 0.273, 0.273, 0.292, 0.292, 0.302, 0.302, 0.315, 0.315, 0.321, 0.321, 0.342, 0.342, 0.349, 0.349, 0.368, 0.368, 0.375, 0.375, 0.388, 0.388, 0.405, 0.405, 0.426, 0.426, 0.485, 0.485, 0.525, 0.525, 0.54, 0.54, 0.572, 0.572, 0.592, 0.592, 0.621, 0.621, 0.624, 0.624, 1.0]","[0.0, 0.0, 0.0, 0.036, 0.036, 0.071, 0.071, 0.107, 0.107, 0.143, 0.143, 0.179, 0.179, 0.214, 0.214, 0.25, 0.25, 0.286, 0.286, 0.357, 0.357, 0.393, 0.393, 0.429, 0.429, 0.429, 0.464, 0.464, 0.5, 0.5, 0.536, 0.536, 0.571, 0.571, 0.607, 0.607, 0.679, 0.679, 0.714, 0.714, 0.75, 0.75, 0.786, 0.786, 0.821, 0.821, 0.821, 0.821, 0.857, 0.857, 0.893, 0.893, 0.893, 0.893, 0.893, 0.893, 0.929, 0.929, 0.929, 0.929, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 0.964, 1.0, 1.0]","[0.576, 0.825, 0.919, 0.9, 1.199, 1.092, 0.829, 0.437, 1.263, 0.981, 0.555, 0.899, 1.004, 0.894, 0.364, 1.003, 0.819, 0.631, 0.83, 1.171, -1.298, 1.108, 1.035, 0.86, 1.228, 0.321, 1.15, 0.861]","[-0.522, 0.07, -0.2, -1.685, -1.384, -0.61, 0.002, 0.066, -0.381, -1.567, 0.016, -1.776, -1.346, -0.715, -1.884, -1.49, -1.063, -1.258, -1.967, -1.76, -0.065, -1.511, -1.375, -0.532, -1.036, -1.428, -1.758, -1.563]"
0.1428571428571444,"[0.0, 0.0, 0.005, 0.005, 0.005, 0.005, 0.006, 0.006, 0.006, 0.006, 0.013, 0.013, 0.015, 0.015, 0.015, 0.015, 0.018, 0.018, 0.032, 0.032, 0.046, 0.046, 0.072, 0.072, 0.081, 0.081, 0.164, 0.164, 0.264, 0.264, 0.4, 0.4, 1.0]","[0.0, 0.0, 0.0, 0.071, 0.071, 0.143, 0.143, 0.214, 0.214, 0.286, 0.286, 0.357, 0.357, 0.429, 0.429, 0.5, 0.5, 0.571, 0.571, 0.643, 0.643, 0.714, 0.714, 0.786, 0.786, 0.857, 0.857, 0.929, 0.929, 1.0, 1.0, 1.0, 1.0]","[0.994, 0.97, 0.992, -0.059, 0.836, 1.148, 0.2, 1.021, 1.137, 1.133, 0.731, 1.148, 0.572, 0.524]","[-1.003, -1.297, 0.52, -1.401, 0.672, -1.053, -1.186, -1.057, 0.023, -1.511, 0.296, 0.05, -0.555, 0.203]"
