eer,fpr,tpr,authorized,unauthorized
0.3950832028758625,"[0.0, 0.0, 0.043, 0.044, 0.082, 0.082, 0.094, 0.094, 0.211, 0.211, 0.31, 0.31, 0.414, 0.414, 0.415, 0.415, 0.415, 0.466, 0.587, 0.587, 0.598, 0.598, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.333, 0.333, 0.333, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 1.0, 1.0, 1.0, 1.0]","[-0.044, -0.131, 0.201]","[0.112, 0.148, -0.574]"
0.10683996034805497,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.006, 0.006, 0.006, 0.006, 0.008, 0.008, 0.011, 0.011, 0.013, 0.013, 0.015, 0.015, 0.018, 0.018, 0.022, 0.022, 0.024, 0.024, 0.026, 0.026, 0.027, 0.027, 0.029, 0.029, 0.035, 0.035, 0.038, 0.038, 0.04, 0.04, 0.042, 0.042, 0.047, 0.047, 0.05, 0.05, 0.056, 0.056, 0.061, 0.061, 0.066, 0.066, 0.072, 0.072, 0.082, 0.082, 0.082, 0.082, 0.09, 0.09, 0.092, 0.092, 0.099, 0.099, 0.11, 0.11, 0.133, 0.133, 0.136, 0.136, 0.143, 0.143, 0.399, 0.401, 0.655, 0.655, 0.821, 0.821, 0.865, 0.865, 0.891, 0.891, 1.0]","[0.0, 0.0, 0.075, 0.075, 0.125, 0.125, 0.175, 0.175, 0.2, 0.2, 0.225, 0.225, 0.25, 0.25, 0.275, 0.275, 0.3, 0.3, 0.325, 0.325, 0.35, 0.35, 0.375, 0.375, 0.4, 0.4, 0.425, 0.425, 0.45, 0.45, 0.475, 0.475, 0.5, 0.5, 0.525, 0.525, 0.55, 0.55, 0.575, 0.575, 0.6, 0.6, 0.625, 0.625, 0.65, 0.65, 0.675, 0.675, 0.7, 0.7, 0.725, 0.725, 0.75, 0.75, 0.775, 0.775, 0.8, 0.8, 0.825, 0.825, 0.85, 0.85, 0.875, 0.875, 0.9, 0.9, 0.925, 0.925, 0.95, 0.95, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.669, 0.928, 1.839, 0.295, 1.535, 1.666, 0.458, 0.692, 0.898, 1.985, 1.222, 0.805, 1.897, 1.181, 1.283, 0.857, 0.84, 0.945, 1.393, 1.107, 1.075, 0.964, 0.629, 0.775, 1.531, 1.884, 1.38, 1.828, 1.342, 0.253, 0.312, 0.735, 1.043, 1.024, 0.518, 0.561, 1.259, 0.628, 0.578, 1.053]","[-1.112, -1.26, -0.729, -1.595, 1.556, 0.53, -0.961, 0.034, 0.217, -0.618, 0.21, -0.995, -1.08, -1.208, -0.522, -1.824, -1.845, 0.339, -0.743, -0.852, -1.871, -0.651, -1.384, 1.648, -0.352, -2.215, -1.532, -1.845, -0.41, -1.309, -0.831, -1.671, -0.926, -0.829, -1.129, 0.082, -1.548, -1.689, 0.821, -0.492]"
0.20862406899317193,"[0.0, 0.0, 0.025, 0.025, 0.025, 0.025, 0.026, 0.026, 0.026, 0.026, 0.042, 0.042, 0.057, 0.057, 0.069, 0.069, 0.089, 0.089, 0.145, 0.145, 0.158, 0.158, 0.209, 0.209, 0.218, 0.218, 0.238, 0.238, 0.248, 0.248, 0.255, 0.28, 0.28, 0.293, 0.293, 0.416, 0.416, 0.458, 0.458, 0.472, 0.472, 0.487, 0.487, 0.542, 0.543, 0.626, 0.626, 0.978, 0.978, 1.0]","[0.0, 0.0, 0.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.4, 0.4, 0.4, 0.4, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.527, 0.513, 0.292, -0.508, -0.167]","[-0.168, 0.03, -0.638, -1.179, -0.297]"
0.25,"[0.0, 0.0, 0.006, 0.006, 0.006, 0.006, 0.01, 0.01, 0.021, 0.021, 0.032, 0.032, 0.037, 0.037, 0.046, 0.046, 0.15, 0.15, 0.227, 0.227, 0.312, 0.312, 0.356, 0.356, 0.441, 0.441, 0.442, 0.442, 0.448, 0.453, 0.536, 0.536, 0.542, 0.542, 0.57, 0.57, 0.584, 0.584, 0.588, 0.588, 0.624, 0.624, 0.633, 0.633, 0.647, 0.647, 0.698, 0.698, 0.736, 0.737, 0.855, 0.855, 0.879, 0.879, 0.916, 0.916, 0.926, 0.926, 0.93, 0.93, 0.958, 0.958, 1.0]","[0.0, 0.0, 0.0, 0.083, 0.083, 0.167, 0.167, 0.25, 0.25, 0.333, 0.333, 0.417, 0.417, 0.5, 0.5, 0.583, 0.583, 0.667, 0.667, 0.75, 0.75, 0.833, 0.833, 0.833, 0.833, 0.917, 0.917, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.731, 0.778, 0.897, -0.61, 1.113, -0.374, 0.089, 1.106, -0.611, 0.656, -0.152, 1.049]","[-0.112, -1.441, -0.573, -1.288, -0.035, -0.739, -0.628, -1.292, -0.658, -0.612, -1.081, -0.809]"
0.04788418708351999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.005, 0.005, 0.005, 0.005, 0.007, 0.007, 0.007, 0.007, 0.013, 0.013, 0.018, 0.018, 0.019, 0.019, 0.019, 0.019, 0.024, 0.024, 0.025, 0.025, 0.048, 0.048, 0.312, 0.312, 0.386, 0.386, 0.392, 0.392, 0.392, 0.393, 1.0]","[0.0, 0.0, 0.045, 0.045, 0.091, 0.091, 0.136, 0.136, 0.182, 0.182, 0.273, 0.273, 0.318, 0.318, 0.364, 0.364, 0.409, 0.409, 0.455, 0.455, 0.5, 0.5, 0.545, 0.545, 0.591, 0.591, 0.636, 0.636, 0.682, 0.682, 0.727, 0.727, 0.773, 0.773, 0.818, 0.818, 0.864, 0.864, 0.909, 0.909, 0.955, 0.955, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.808, 1.227, 1.218, 1.06, 1.082, 0.383, 1.044, 0.921, 1.325, 0.632, 0.938, 1.446, 1.1, 0.699, 0.988, -0.677, 0.644, 1.163, 0.723, 1.159, 0.703, 0.999]","[-1.567, -1.006, -0.73, -0.696, -0.411, 0.595, 0.217, -0.775, -1.292, -0.139, -0.399, -0.665, 0.38, -0.177, -1.141, 0.079, -0.254, -1.218, -0.215, -2.037, -0.795, -0.622]"
0.33333333333333265,"[0.0, 0.0, 0.001, 0.001, 0.136, 0.136, 0.404, 0.404, 0.747, 0.749, 1.0]","[0.0, 0.0, 0.0, 0.333, 0.333, 0.667, 0.667, 1.0, 1.0, 1.0, 1.0]","[0.63, 0.126, 1.336]","[-0.168, -0.42, -0.007]"
0.10755633657217367,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.005, 0.012, 0.012, 0.12, 0.12, 0.149, 0.149, 0.154, 0.156, 0.279, 0.279, 0.309, 0.309, 0.313, 0.313, 0.318, 0.318, 0.347, 0.347, 0.348, 0.348, 0.354, 0.354, 0.358, 0.358, 0.369, 0.369, 0.38, 0.38, 0.415, 0.415, 0.452, 0.452, 0.453, 0.453, 0.484, 0.484, 0.522, 0.522, 0.558, 0.558, 0.606, 0.606, 0.869, 0.869, 1.0]","[0.0, 0.0, 0.0, 0.379, 0.379, 0.448, 0.448, 0.552, 0.552, 0.621, 0.621, 0.655, 0.655, 0.69, 0.69, 0.724, 0.724, 0.759, 0.759, 0.793, 0.793, 0.828, 0.828, 0.862, 0.862, 0.897, 0.897, 0.931, 0.931, 0.966, 0.966, 0.966, 0.966, 0.966, 0.966, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.622, 0.861, -0.489, 1.132, 1.099, 1.619, 0.866, 1.494, 1.55, 1.233, 1.586, 0.569, 1.465, 1.116, 1.436, 1.449, 1.311, 1.437, 1.397, 1.312, -0.39, 0.832, -0.773, 1.24, 1.328, 1.496, 1.394, 0.823, 1.562]","[-2.127, -0.727, -0.499, -1.908, -2.094, -1.201, -0.828, -2.057, -1.765, -1.37, -1.066, -2.276, -0.925, -0.589, -2.126, -0.166, -1.361, -1.957, -1.327, -0.601, -1.256, -1.584, -1.797, -0.466, -2.117, -1.865, -1.371, -1.03, -1.9]"
0.15819297354331935,"[0.0, 0.0, 0.072, 0.072, 0.098, 0.098, 0.102, 0.102, 0.115, 0.115, 0.322, 0.322, 0.382, 0.383, 0.389, 0.581, 0.581, 0.615, 0.615, 0.624, 0.625, 0.636, 0.636, 1.0]","[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.611, 0.493, 0.444, 0.509, -0.04]","[0.545, -0.597, -0.295, 0.225, -0.859]"
0.020044709389580057,"[0.0, 0.0, 0.002, 0.002, 0.004, 0.004, 0.009, 0.009, 0.02, 0.02, 0.741, 0.744, 0.744, 0.948, 0.948, 0.988, 0.989, 0.998, 0.998, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.732, 0.97, 1.029, 0.847]","[0.711, -0.893, -0.677, 0.332]"
0.017825704226289808,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.005, 0.006, 0.006, 0.011, 0.011, 0.018, 0.018, 0.135, 0.135, 0.138, 0.24, 0.24, 0.447, 0.447, 0.576, 0.577, 0.951, 0.951, 1.0]","[0.0, 0.067, 0.133, 0.133, 0.267, 0.267, 0.333, 0.333, 0.4, 0.4, 0.467, 0.467, 0.533, 0.533, 0.6, 0.6, 0.667, 0.667, 0.733, 0.733, 0.8, 0.8, 0.867, 0.867, 0.933, 0.933, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.638, 1.075, 1.438, 0.284, 1.335, 0.647, 0.727, 0.985, 1.853, 0.67, 0.678, 0.484, 1.845, 1.121, 0.882]","[-1.376, -0.749, -0.717, -1.317, -0.437, -1.168, -0.842, -0.64, -1.15, -1.278, 0.582, -1.06, -1.284, -1.006, -0.617]"
