eer,swipes,batch
0.15447154471544705,613,0
0.08287292817679474,3618,1
0.06756756756756738,370,0
0.06920378171830716,835,0
0.001526193292980251,142,0
0.013788331104239111,120,0
0.0654338549075395,3511,1
0.04453907890726619,2179,1
0.055116401114135585,733,0
0.027744270205065473,4141,1
0.022020886060519045,861,0
0.1441431247198236,657,0
0.043878572681881195,921,0
0.06929526790454088,775,0
0.11979166666669121,1917,1
0.05462057591820659,3309,1
0.022267271921633806,3601,1
0.12335921854143363,853,0
0.10489558764471912,3447,1
0.07633587786256744,651,0
0.10996521526254252,3625,1
0.030332234198123906,361,0
0.08907667815718934,807,0
0.05781167628746588,699,0
0.09090909090909066,109,0
0.011828635570086597,3499,1
0.11319052751040035,1259,1
0.04886202259529385,805,0
0.03013407084262777,135,0
0.1707067752787179,849,0
0.1837016574585636,3618,1
0.008855397263186456,161,1
0.06122448979591856,734,0
0.05244588564653154,102,0
0.013179982932762725,155,0
0.06777827031346229,2257,1
0.08419051478581013,599,0
0.39259259259259266,674,0
0.05207221422847763,1040,0
0.09477060637321309,3470,1
0.10982658959540312,864,0
0.0402568229946814,815,0
0.0651981886589657,774,0
0.047619047619047616,103,0
0.07446808510639905,469,0
0.2692534446647129,106,0
0.04716489186518769,816,0
0.0542168674698987,830,0
0.06120421149140082,786,0
0.028074889287069364,697,0
0.09577593837400351,466,0
0.12665909063137698,3485,1
0.11161976141934729,1316,0
0.1272616122199001,799,0
0.041690989053181866,998,0
0.007952286282306235,2513,1
0.08270676691729567,665,0
0.09059467846458703,728,0
0.012577929634965738,3107,1
0.09395973154363142,745,0
0.07326363342781839,1030,0
0.09006621041394292,202,0
0.040000000000000036,123,0
0.029287610060797102,216,0
0.047619047619225634,101,0
0.06737572063476119,977,0
0.0073364045971649776,664,0
0.1565254550131381,857,0
0.1069107081783896,3664,1
0.0303216790742949,841,0
0.08116786807693531,770,0
0.18742380350546295,801,0
0.11847646227205384,140,1
0.08871524474607369,783,0
0.05000000000000471,100,0
0.13055555555555454,3597,1
0.08404802580353876,730,1
0.0941450260568505,3609,1
0.09963835011002362,103,1
0.17829457364341073,641,0
0.061586674290362485,475,0
0.04968944099379204,805,0
0.05248618784530366,3618,1
0.07739369755953235,3504,1
0.18939446546980623,840,0
0.20909599950334845,559,0
0.2085889570551953,3260,1
0.11173974540307319,3535,1
0.02894356005832298,3452,1
0.1537989830486002,771,0
0.09000354484288647,120,0
0.1435727871573865,1215,1
0.14880952380952392,836,0
0.05928633893064679,3609,1
0.1375805064206839,2832,1
0.13770461681529136,628,1
0.02234636871508374,895,0
0.023765048427518243,3254,1
0.006407420537557179,105,1
0.08833520543206615,829,0
0.11429392298162003,890,0
0.10531148540718849,771,0
0.07576535947953494,130,0
0.13463955179258486,3386,1
0.12262289929943121,793,0
0.08603285516754769,469,0
0.06798516687300771,4045,1
0.17061593041711975,2433,1
0.04000000000008023,123,0
0.37292182988378897,831,0
0.038383151218782656,736,0
0.14195412678345676,767,0
0.08133448963725452,850,0
0.018209408194233955,3293,1
0.2027617124309966,945,0
0.036764705882352304,676,0
0.07597535934343436,135,1
0.09903713892709783,3634,1
0.04666586622299221,867,0
0.204469758074571,822,0
0.08721887782303751,3935,1
0.09773873080902679,839,0
0.04650509606996193,197,0
0.04487179487179485,778,0
0.1320754716981183,795,0
0.07870188345949167,4147,1
0.1161733954056323,3635,1
0.1082078086312144,764,0
0.11428571428613074,171,0
0.1023929595579359,3033,1
0.0295975054859441,767,0
0.028699832719023363,635,0
0.21147018685922714,814,0
0.2131332514163596,790,0
0.02731002534671455,3456,1
0.22380952380970173,2099,1
0.09471967559902092,1149,0
0.014942347638218053,3492,1
0.2993630573248408,785,0
0.016763904760214342,762,0
0.05807365439078192,3527,1
0.0845070422535211,355,0
0.03441570047115103,108,0
0.09897864068896799,3336,1
0.08465608465620757,943,0
0.09957305829843699,876,0
0.04664723032069965,3430,1
0.023128891817045163,3528,1
0.041437034404201656,2808,1
0.11912779448014335,810,0
0.038461538461679344,127,0
0.06385199437988383,3603,1
0.06610753072780726,3408,1
0.05796492331712544,3583,1
0.04571428571428657,875,0
0.09107516784228417,812,0
0.06491482777187098,734,0
0.04363916824318722,3948,1
0.1321989528793522,3820,1
0.0739169184258794,783,0
0.06511098749578809,891,0
0.10638950279481924,808,0
0.05714285714302893,171,1
0.06502242152478907,2226,1
0.07073448898925955,561,0
0.08198179151827728,811,0
0.04364264402151626,992,0
0.0641640847497774,3815,1
0.09393110671445144,832,0
0.0332469365036113,746,0
0.11452689078000008,821,0
0.03846153846154287,258,1
0.14323588050133923,854,0
0.051144468130221575,1859,1
0.08355603164242767,550,0
0.1229050279329609,894,0
0.056047197640260234,3389,1
0.032159408207017785,750,1
0.031641070388103786,3439,1
0.10256410256410245,195,1
0.026383684079888232,797,0
0.07554671968190853,2513,1
0.0690192210715768,916,0
0.07830008485781564,944,0
0.03970698765510772,104,0
0.032675399974320646,884,0
0.06988567682022043,3656,1
0.036393426344520495,1401,1
0.11111111111111137,945,0
0.05581354762841527,426,0
0.0546927491227599,3200,1
0.10654757632835786,3881,1
0.07261794503786893,720,0
0.04924882934497013,139,0
0.053835367551344555,761,0
0.12602291325695578,3055,1
0.03499966341187235,3365,1
0.011927331197186655,212,1
0.08603412294773952,539,0
0.07913669064746391,3474,1
0.06595864222468976,2657,1
0.1663796644201717,832,0
0.05967865013695666,2650,1
0.05269018852327423,4077,1
0.11695906432748554,855,0
0.045454545454545456,106,1
0.13142159791145303,105,0
0.09310344827585802,2896,1
0.13317167666860835,1000,0
0.0011911852305512413,100,0
0.09582292810236799,809,0
0.07606895683289507,3509,1
0.03950545111155351,902,0
0.05882352941182631,1019,0
0.03668703024081987,3659,1
0.06896551724129094,145,0
0.08970588235294127,3400,1
0.12328767123287676,1093,0
0.09323886969197134,883,0
0.13545687993676173,713,0
0.027621786088751675,2556,1
0.028706637300884647,603,1
0.04163592650002444,3702,1
0.12589069144746778,799,0
0.08372589749347233,864,0
0.039999999999999994,124,0
0.00956636751255888,145,0
0.054054054053909506,184,0
0.09557014062597431,783,0
0.08345726453975394,468,1
0.04072176289420727,2294,1
0.03303403799066299,730,0
0.07187189032805597,3246,1
0.10861772234474758,755,0
0.0700887018649983,769,0
0.08672432525383587,3584,1
0.13481481481481628,3372,1
0.17682835094427424,863,0
0.10909090909090935,823,0
0.07144681699277741,836,0
0.05369182340501942,2243,1
0.05555555555591984,717,0
0.0958431683356196,3606,1
0.021743751363953498,3265,1
0.06977268100712325,1216,1
0.05031446540906312,793,0
0.038690782792841875,2565,1
0.0230586592948531,2918,1
0.13733028230737343,139,1
0.06764129413267175,141,0
0.1538461538460441,844,0
0.08333333333333334,3058,1
0.08,124,0
0.034424485690169634,152,1
0.055968765197266845,140,0
0.06896551724156894,144,0
0.16856033173960744,912,0
0.11258936366035543,454,0
0.06622516556285943,754,0
0.08433876505191497,3589,1
0.013698630136986377,3650,1
0.04511278195488738,665,0
0.046723085692870855,888,0
0.018854008245177977,3860,1
0.013663485749759965,120,0
0.06418219461697723,2415,1
0.1261356952372084,1317,1
0.0473815461346595,4009,1
0.09569106751178563,752,0
0.0640854687128438,579,0
0.08500477841965742,834,0
0.006329113923873643,787,0
0.05360787506412851,2428,1
0.0512820512820518,779,0
0.057698898551944724,2642,1
0.11851782552998762,3882,1
0.16318517923796122,869,0
0.04467727401110948,125,0
0.039462154884375884,740,0
0.09167608144086131,1100,0
0.03712832315392907,616,0
0.08522823170714007,774,0
0.024869653810850725,819,0
0.08285858647860322,820,0
0.07749099162102917,802,0
0.014141925245922969,793,0
0.08854539870998861,729,0
0.1117019417807539,3121,1
0.06896551724137921,144,0
0.07444573580175341,314,1
0.025387541425791228,202,1
0.07978723404255357,2820,1
0.02238650682782856,1183,0
0.03191489361702129,937,0
0.12138728323702955,862,0
0.03333333333333762,150,0
0.047187872381187906,3751,1
